category,business_name,city,address,phone_primary,phones_all,fax,website,emails,email_primary,linkedin,facebook,instagram,twitter,rating,review_count,latitude,longitude,yello_url,enrich_status
business-education,MAVERICK BUSINESS ACADEMY,Sharjah,"campus suite# 201, 2nd floor, robot park tower, Sharjah, UAE",+971 6 767 5656,+971 6 767 5656 | +917501493598,,https://mbalondon.org.uk/,admissions@mbalondon.org.uk | askus@mbalondon.org.uk,admissions@mbalondon.org.uk,https://www.linkedin.com/company/80568787/admin/feed/posts/,https://www.facebook.com/maverickuni/,https://www.instagram.com/maverickuni/,,,,25.32447927998716,55.37518411874771,https://www.yello.ae/company/375457/maverick-business-academy,ok
business-education,New CompuLearn Training Center,Ajman,"First Floor, Masfout Plaza, Sheikh Rashid Bin Hamaid Road, Liwara 1, Ajman",+971 54 245 5045,+971 54 245 5045,,http://www.newcompulearn.ae/,info@newcompulearn.ae,info@newcompulearn.ae,,,,,,,25.4089172006519,55.4438632584667,https://www.yello.ae/company/372826/new-compulearn-training-center,ok
business-education,Preparation For Life Education Nigeria,Dubai,"Office, # 607 Fairmont Dubai, Sheikh Zayed Road Dubai, United Arab Emirates",+971 4 355 9573,+971 4 355 9573,,https://www.preparationforlife.com/,sales@pfl.ae | ngsales11@pfl.ae,sales@pfl.ae,,https://www.facebook.com/Preparationforlifeisb/,,,,,25.22621,55.284487,https://www.yello.ae/company/361407/preparation-for-life-education-nigeria,ok
business-education,Pursueit,Dubai,"Dtec, DSO THUB G, Dubai Silicon Oasis, Dubai, UAE",+971 58 578 7783,+971 58 578 7783,,https://www.pursueit.ae/,partner@pursueit.ae | support@pursueit.ae,partner@pursueit.ae,https://www.linkedin.com/company/pursueittechnology,https://www.facebook.com/pursueituae/,https://www.instagram.com/pursueituae/,,,,25.112805,55.3161215,https://www.yello.ae/company/367454/pursueit,ok
business-education,RedTeam Hacker Academy,Dubai,"Hamsa Building - O307, 3rd Floor, O - Exit #2 - above Ansar Gallery - Dubai",+971 58 125 5484,+971 58 125 5484,,https://redteamacademy.ae/,support@redteamacademy.ae,support@redteamacademy.ae,https://in.linkedin.com/company/redteamacademy,https://www.facebook.com/redteamdubai/,https://www.instagram.com/redteamdubai/,https://twitter.com/redteamacademy,,,25.237604044179047,55.31297816406248,https://www.yello.ae/company/375140/redteam-hacker-academy,ok
business-education,Stanford Global Educational Consultants,Dubai,Business Atrium Building - Office No 203 B 2nd floor - 2nd St - Oud Metha - Dubai,0586482330,0586482330 | +971586482330,,https://stanfordglobaleducation.com/,admission@stanfordglobaleducation.com,admission@stanfordglobaleducation.com,,https://www.facebook.com/stanfordglobaleducationconsultants,https://www.instagram.com/stanford_global_education_/,,,,25.24,55.31,https://www.yello.ae/company/375588/stanford-global-educational-consultants,ok
business-education,TarteeleQuran,Sharjah,Al Maneesad Sharja Media City Sharjah,+971 58 514 3560,+971 58 514 3560,,https://tarteelequran.ae/,youremail@xyz.com,youremail@xyz.com,,https://www.facebook.com/tarteelequran,,,,,25.335195516644323,55.41750426837911,https://www.yello.ae/company/375453/tarteelequran,ok
business-education,eduwing,Sharjah,"Eduwing, Suit no -137,First floor, Sharjah Expo Center,Sharjah,UAE, Po Box-70974, 052 52 52 704 / 06 52 12 566, info@eduwing.ae / www.eduwing.ae",+971 6 521 2566,+971 6 521 2566 | +971 52 525 2704,,https://eduwing.ae/,info@eduwing.ae | admissions@eduwing.ae | usa@eduwing.ae | inquiries@eduwing.ae | tnadmissions@eduwing.ae | auhadmissions@eduwing.ae,info@eduwing.ae,https://www.linkedin.com/company/35889823/admin/dashboard/,https://www.facebook.com/eduwing.ae,https://www.instagram.com/eduwing.uae/,,,,25.3471085492807,55.4210175306885,https://www.yello.ae/company/361205/eduwing,ok
child-daycare-services,Dibber Al Barsha South Nursery,Dubai,Street 100 - Al Barsha South - Behind Al Barsha South Park,+971 800342237,+971 800342237,,https://www.edu.dibber.com/dibber-nursery/al-barsha-south,familyrelations@dibber.com | ​familyrelations@dibber.com | familyrelations@dibberfamily.com,familyrelations@dibber.com,https://www.linkedin.com/company/creakids-nursery,https://www.facebook.com/dibberuae,https://instagram.com/dibberuae,,,,25.0892045,55.2309474,https://www.yello.ae/company/372802/dibber-al-barsha-south-nursery,ok
childrens-services,Danat AL Emarat Properties,Dubai,"11 32a St - Za&#039;abeel - Za&#039;abeel 1, Box No. 64111",+971 4 337 7447,+971 4 337 7447 | +971 2 614 9999,+971 4 336 6244,https://danatalemarat.ae,appointments@danatalemarat.ae,appointments@danatalemarat.ae,https://www.linkedin.com/company/daeh/,https://www.facebook.com/DanatAlEmaratHospital/,https://www.instagram.com/danatalemarat_,,,,25.2215341,55.3117482,https://www.yello.ae/company/102089/danat-al-emarat-properties,ok
childrens-services,Kids Island Nursery,Dubai,"Villa 116, Al Hamra St (18D St), Jumeirah 3, Dubai, UAE.",+971 4 394 2578,+971 4 394 2578,+971 4 394 2580,https://www.kidsislandnursery.com/,hello@kidsislandnursery.com,hello@kidsislandnursery.com,,https://www.facebook.com/kidsislandnurserydubai,http://instagram.com/kidsislandnurserydubai,,,,25.1777769669965,55.2250099182129,https://www.yello.ae/company/14166/kids-island-nursery,ok
childrens-services,Little Champions Nursery,Dubai,"Street 81a, Villa 22, Jumeirah 1",+971 4 344 6420,+971 4 344 6420 | +971 55 760 9955,+971 4 344 0624,https://www.littlechampionsnursery.com/,info@littlechampionsnursery.com,info@littlechampionsnursery.com,,,,,,,23.424076,53.847818,https://www.yello.ae/company/358957/little-champions-nursery,ok
childrens-services,Little Pandas Early Learning Centre,Dubai,"Villa no. 6, Street no. 51, Behind Dubai Zoo, Jumeirah 1, Dubai",+971 4 344 6371,+971 4 344 6371 | +971 55 443 1228,+971 4 344 6372,https://www.littlepandaselc.com/,littlepandasedu@gmail.com,littlepandasedu@gmail.com,,https://www.facebook.com/littlepandasyelahanka/,https://www.instagram.com/littlepandasyelahanka/,,,,25.2162399811508,55.25545835495,https://www.yello.ae/company/356091/little-pandas-early-learning-centre,ok
childrens-services,Logix Engine Training Services,Dubai,906 Aspect Tower D Executive Towers Business Bay,+971 4 323 1374,+971 4 323 1374 | +971 50 203 7547,,http://www.logix-engine.com/,info@logix-engine.com,info@logix-engine.com,,,,,,,25.2564289574434,55.3018248542094,https://www.yello.ae/company/365649/logix-engine-training-services,ok
childrens-services,Lycee Louis Massiognon,Abu Dhabi,Rabdan St - Al Sa&#039;adah - Zone 1,+971 56 624 9503,+971 56 624 9503,,https://llm.education/,assdir@llm.education | secretariatcecm@llm.education | secretariatmatcp@llm.education,assdir@llm.education,https://www.linkedin.com/company/lyceelouismassignon-abudhabi/,https://www.facebook.com/massignonabudhabiofficiel,https://www.instagram.com/llm_abudhabi/,,,,24.431206773880028,54.43025225092621,https://www.yello.ae/company/145208/lycee-louis-massiognon,ok
childrens-services,Native Information System for Computer,Abu Dhabi,P.O.Box 39049,+971 2 447 2800,+971 2 447 2800 | +971 4 432 9464,+971 2 447 2811,https://puremindsacademy.com/,info@puremindsacademy.com,info@puremindsacademy.com,,,,,,,25.096962,55.1775999,https://www.yello.ae/company/299753/native-information-system-for-computer,ok
childrens-services,Sheikh Shakhbout Medical City,Abu Dhabi,"Ghweifat International Highway Next to Mafraq Hospital, Al Mafraq area - Abu Dhabi",+97180050,+97180050,,https://ssmc.ae/#!,ssmccontact@ssmc.ae,ssmccontact@ssmc.ae,https://ae.linkedin.com/company/ssmcabudhabi,https://www.facebook.com/ssmcabudhabi,https://instagram.com/ssmcabudhabi,https://twitter.com/ssmcabudhabi,,,24.3251118,54.6136721,https://www.yello.ae/company/368773/sheikh-shakhbout-medical-city,ok
colleges-universities,ALDAR University College,Dubai,Al Garhoud,+971 4 282 6880,+971 4 282 6880,+971 4 282 6902,https://aldar.ac.ae/,info@aldar.ac.ae,info@aldar.ac.ae,,https://www.facebook.com/aldar.academy.vocational.education/,https://www.instagram.com/aldaracademy/,https://twitter.com/aldaracademy,,,25.2397315855063,55.3507093988281,https://www.yello.ae/company/354566/aldar-university-college,ok
colleges-universities,Assignment Help UAE by Casestudyhelp.com,Dubai,"Academic City, Dubai, Abu Dhabi, 73000",61283105679,61283105679,,https://casestudyhelp.com/uae/,support@casestudyhelp.com,support@casestudyhelp.com,,https://www.facebook.com/casestudyhelp/,,https://twitter.com/casestudyhelp,,,25.2046939822298,55.2710832074097,https://www.yello.ae/company/358076/assignment-help-uae-by-casestudyhelpcom,ok
colleges-universities,British Columbia International Academy,Dubai,"Office #313, Al Nasr Plaza, Oud Metha",+971 4 357 1074,+971 4 357 1074 | +971 52 118 5256,,http://www.bciame.com/,info@bciame.com,info@bciame.com,https://www.linkedin.com/company/britishcolumbiainternational/,https://www.facebook.com/britishcolumbiainternationalacademy/,https://www.instagram.com/bci_academy/,,,,25.243671,55.31386,https://www.yello.ae/company/356008/british-columbia-international-academy,ok
colleges-universities,Essaywritinghelp.ae,Dubai,"Near Rotana Towers, Financial Center Sheikh Zayed Road, Dubai, UAE",+971 56 276 4434,+971 56 276 4434,,https://www.essaywritinghelp.ae/,info@essaywritinghelp.ae,info@essaywritinghelp.ae,,https://www.facebook.com/essaywritinghelpae-356021558095415/,,,,,25.2126873700793,55.2751860022545,https://www.yello.ae/company/357929/essaywritinghelpae,ok
colleges-universities,Exeed School of Business and Finance,Sharjah,"Office Suits 704, Citygate Tower Al Ittihad Road, Al Tawun, Sharjah, UAE",+971 6 528 7041,+971 6 528 7041 | +971 52 258 9440,,https://exeedcollege.com/,info@exeedcollege.com | anish@exeedcollege.com | sahil@exeedcollege.com | bhawana@exeedcollege.com | accounts.admin@westford.org.uk,info@exeedcollege.com,https://www.linkedin.com/in/alexandros-spyridonis-67554142/,https://www.facebook.com/Esbfedu/,https://www.instagram.com/exeedcollege/,https://twitter.com/Exeedcollege,,,25.3026152142886,55.3682638437836,https://www.yello.ae/company/355906/westford-exeed-executive-education,ok
colleges-universities,GEMS Wellington Academy - Silicon Oasis,Dubai,P.O. Box 49746,+971 4 515 9000,+971 4 515 9000,,https://www.gemswellingtonacademy-dso.com/en/,registrar_wso@gemsedu.com,registrar_wso@gemsedu.com,,https://www.facebook.com/GEMSWSO/,https://www.instagram.com/gemswso/,,,,25.118119,55.388107,https://www.yello.ae/company/367590/gems-wellington-academy-silicon-oasis,ok
colleges-universities,GEMS World Academy - Dubai,Dubai,Al Barsha South,+97180097143736373,+97180097143736373,,https://www.gemsworldacademy-dubai.com/en/,admissions_gwa@gemsedu.com,admissions_gwa@gemsedu.com,,https://www.facebook.com/GWADubai/,https://www.instagram.com/gwadubai_official/,,,,25.0822377,55.219508,https://www.yello.ae/company/367588/gems-world-academy-dubai,ok
colleges-universities,Gulf Education Institute,Abu Dhabi,Najda St - Al Danah - Zone 1 - Abu Dhabi,+971 2 886 4877,+971 2 886 4877,,https://gulfeducation.ae/,contact@gulfeducation.ae,contact@gulfeducation.ae,https://www.linkedin.com/company/gulf-education/,https://www.facebook.com/gulfeducation.llc/,https://www.instagram.com/gulf.education/,,,,24.4858229,54.3742615,https://www.yello.ae/company/14354/gulf-education-institute,ok
colleges-universities,Heriot-Watt University Dubai Campus,Dubai,"Dubai International Academic City, Academic City Road, Academic City",+971 4 571 7000,+971 4 571 7000,+971 4 360 4800,https://www.hw.ac.uk/dubai,internationaldevelopment@hw.ac.uk,internationaldevelopment@hw.ac.uk,https://www.linkedin.com/school/heriot-watt-university,https://www.facebook.com/HeriotWattUni/,https://www.instagram.com/heriotwattuni,,,,25.1022038,55.1622209,https://www.yello.ae/company/341515/heriot-watt-university-dubai-campus,ok
colleges-universities,Lincoln University of Business &amp; Management (LUBM),Sharjah,"406, Al Reem Towers, Above NBAD &amp; Ministry of Foreign Affairs, Buhaira Corniche, Sharjah.",+971 6 598 2111,+971 6 598 2111 | +971 55 553 8999,+971 6 598 2111,http://www.lincoln-edu.ae/,info@lincoln-edu.ae,info@lincoln-edu.ae,https://www.linkedin.com/company/lubmmiddleeast,https://www.facebook.com/lubmmiddleeast,https://www.instagram.com/lubmmiddleeast/,,,,25.3407673738206,55.3941554498169,https://www.yello.ae/company/349853/lincoln-university-of-businessmanagement-lubm,ok
colleges-universities,Lincoln University of Business and Management,Sharjah,"406, Al Reem Tower, Buhaira Corniche",+971 6 598 2111,+971 6 598 2111 | +971 55 553 8999,,http://www.lincoln-edu.ae,info@lincoln-edu.ae,info@lincoln-edu.ae,https://www.linkedin.com/company/lubmmiddleeast,https://www.facebook.com/lubmmiddleeast,https://www.instagram.com/lubmmiddleeast/,,,,25.3325609090042,55.390508249402,https://www.yello.ae/company/360807/lincoln-university-of-business-and-management,ok
colleges-universities,London American City College,Dubai,"87556 - Suite 39, Unique World Business Center, Hamsah A Building Ansar Gallery Complex - Al Karama - Dubai",+971 4 388 7033,+971 4 388 7033,,https://lacc.ae/,info@lacc.ae | mu@lacc.ae | hr@lacc.ae | email@lacc.ae | icbest@lacc.ae | accounts@lacc.ae,info@lacc.ae,https://www.linkedin.com/school/laccuae/mycompany/,https://www.facebook.com/laccuae,https://www.instagram.com/laccuae,https://twitter.com/laccuae,,,25.25129276598202,55.30906908956661,https://www.yello.ae/company/341522/london-american-city-college,ok
colleges-universities,Manipal University Dubai,Dubai,"G04,Dubai International Academic City (DIAC); PO Box 345050 Dubai - UAE",800MUDC (800 6832),800MUDC (800 6832) | +971 4 429 0777 | +971 4 429 0799 | +971 4 429 0718 | +971 56 175 5433 +971 56 175 5434 | +971 56 175 5433 | +971 56 175 5434,+971 4 369 4541,https://www.manipaldubai.com/,info@manipaldubai.com | admissions@manipaldubai.com | reema@manipaldubai.com | asifa@manipaldubai.com | sophia@manipaldubai.com | sampath@manipaldubai.com,info@manipaldubai.com,https://www.linkedin.com/school/mahe-dubai/,https://www.facebook.com/MAHEDubai/,https://www.instagram.com/manipaldxb/,https://twitter.com/manipaldxb,,,25.1342123156633,55.4263472557068,https://www.yello.ae/company/350230/manipal-university-dubai,ok
colleges-universities,Murdoch University Dubai,Dubai,"DIAC Block 10, Floor 4, Academic City Road, Academic City",+971 4 574 9800,+971 4 574 9800 | +971 4 435 5700 | +91 (124) 424-1542 (India),+971 4 435 5704 +91 (121) 424-1540 (India),https://www.murdochuniversitydubai.com/,info@murdochuniversitydubai.com,info@murdochuniversitydubai.com,https://ae.linkedin.com/school/murdoch-university-dxb/,https://www.facebook.com/murdochdubai/,https://www.instagram.com/murdochdubai,,5.0,1,25.1249992,55.4095083,https://www.yello.ae/company/341527/murdoch-university-international-study-centre,ok
colleges-universities,Nadia Training Institute,Dubai,"Al Moosa Tower 2, Level 23, Sheik Zayed Road",+971 4 331 3959,+971 4 331 3959,,https://www.nadiaglobal.com/,contact@nadiaglobal.com | enquiry@nadiaglobal.com | it@nadiaglobal.com | joshy@nadiaglobal.com | vishwesh@nadiaglobal.com | developer@nadiaglobal.com,contact@nadiaglobal.com,https://www.linkedin.com/company/nadiaglobal/,https://www.facebook.com/nadiaglobalgroup/,https://www.instagram.com/nadia_global/,,,,25.2167155960715,55.2780157327652,https://www.yello.ae/company/349722/nadia-training-institute,ok
colleges-universities,Notting Hill College UAE,Ras Al Khaimah,"Julphar Towers, Al Hisn Road, Ras al Khaimah",+971 7 233 0744,+971 7 233 0744 | +971 56 627 3095,,https://www.nottinghillcollege.co.uk/,info@nottinghillcollege-egypt.co.uk | info@nottinghillcollege.me | info@nottinghillcollege.net | info.tr@nottinghillcollege.net | education@nottinghillcollege.net,info@nottinghillcollege-egypt.co.uk,https://www.linkedin.com/in/notting-hill-college-uk/,https://www.facebook.com/nhcteachertraining,https://www.instagram.com/nhc_uk/,https://twitter.com/MyNottingHillCo,,,25.7911587796919,55.9601283073425,https://www.yello.ae/company/355530/notting-hill-college-uae,ok
colleges-universities,Specialised Management Group,Dubai,"Knowledge Village Bldg 19, Floor 3, Suite T06-T07",+971 4 369 3453,+971 4 369 3453,+971 4 360 4467,https://smg-me.com/,info@smg-me.com,info@smg-me.com,,,,,,,25.1028,55.1631,https://www.yello.ae/company/14379/specialised-management-group,ok
colleges-universities,Success Point College,Sharjah,"Sharjah Book Authority Building, University City Area, Al Zahia, Sharjah, UAE, PO Box: 519274",+971 800303030,+971 800303030 | +971 55 552 8210,+971 6 530 4403,https://www.successpoint.ae/,admissions@successpoint.ae | support@successpoint.ae,admissions@successpoint.ae,https://www.linkedin.com/company/successpointcollegeofficial/,https://m.facebook.com/successpointcollegeofficial/,https://www.instagram.com/successpointcollegeofficial/,,,,25.32041414824088,55.45848489715578,https://www.yello.ae/company/363826/success-point-college,ok
colleges-universities,The Princeton Review - Score Plus Dubai,Dubai,"Score plus Education Office No: 506, fifth Floor sultan business center near Lamcy Plaza, 21 Oud Metha Road Post Box: 44098,",+971 4 334 0004,+971 4 334 0004,,https://www.princetonreviewme.com/,infouaq@scorepluseducation.com | inforak@scorepluseducation.com | infoksa@scorepluseducation.com | infooman@scorepluseducation.com | infoajman@scorepluseducation.com | infoqatar@scorepluseducation.com,infouaq@scorepluseducation.com,,https://www.facebook.com/PrincetonReview.ME,,,,,25.2482148766669,55.3001868724823,https://www.yello.ae/company/348990/the-princeton-review-score-plus-dubai,ok
colleges-universities,The University of Manchester,Dubai,"Office F16, Block - 2B Al Bourooj St - Al Sufouh - Dubai Knowledge Park",+971 4 446 8664,+971 4 446 8664,+971 4 446 8665,https://www.manchester.ac.ae/,info.me@manchester.ac.uk,info.me@manchester.ac.uk,https://www.linkedin.com/company/theuniversityofmanchestermiddleeastcentre,https://www.facebook.com/universityofmanchesterdubai,https://www.instagram.com/universityofmanchester_dubai/,https://twitter.com/UoM_Dubai,,,25.104501449538123,55.16351285398463,https://www.yello.ae/company/357734/the-university-of-manchester,ok
colleges-universities,Thesishelp.ae,Dubai,"Near Mashreq Bank, Dubai International Financial Center, Sheikh Zayed Road, Dubai, UAE",+971 56 306 0348,+971 56 306 0348,,https://thesishelp.ae/beta/,info@thesishelp.ae,info@thesishelp.ae,, https://www.facebook.com/thesishelpuae,,,,,25.2114157818944,55.2737563848495,https://www.yello.ae/company/357924/thesishelpae,ok
colleges-universities,Time Training Center Abu Dhabi,Abu Dhabi,"ADCP Tower B,203,Electra Street,Behind Honda Showroom",+971 2 671 3828,+971 2 671 3828 | +971 55 856 4000,+971 2 671 5262,https://www.timetraining.ae/,sharaftk@gmail.com,sharaftk@gmail.com,https://www.linkedin.com/company/Time-Training-Center-Abu-Dhabi/,https://www.facebook.com/timetrainingcenter/,,https://twitter.com/TimeTraininguae,4.5,6,24.4959552232113,54.3748140335083,https://www.yello.ae/company/346994/time-training-center,ok
colleges-universities,University Hospital Sharjah,Sharjah,Sharjah University City,+971 6 505 7048,+971 6 505 7048 | +971 6 505 8555,+971 6 505 8444 +971 6 505 7047,https://www.uhs.ae/,info@uhs.ae,info@uhs.ae,https://www.linkedin.com/company/university-hospital-sharjah,https://www.facebook.com/UHSharjah/,https://www.instagram.com/UHSharjah/,,,,25.2994698,55.4897008,https://www.yello.ae/company/341538/university-hospital-sharjah,ok
communities,Ayham AL Hawamda Transport LLC,Dubai,Box No. 294069,3332112,3332112 | +971 4 560 8600,3338248,https://www.wamda.com/,connect@wamda.com,connect@wamda.com,https://www.linkedin.com/company/wamda,https://www.facebook.com/WamdaME,https://www.instagram.com/wamdame,https://twitter.com/wamdame,,,25.188597,55.297908,https://www.yello.ae/company/62928/ayham-al-hawamda-transport-llc,ok
communities,Crunchmoms,Dubai,Dubai,+971 55 819 8736,+971 55 819 8736,,https://www.crunchmoms.com/,hey@crunchmoms.com | n@ittakesavillage.me,hey@crunchmoms.com,https://www.linkedin.com/company/42113741/,,https://www.instagram.com/reel/DcC7REOFWDS/,,,,23.5359598,47.7344728,https://www.yello.ae/company/368599/crunchmoms,ok
communities,Green Initiative Group,Dubai,Tamani Arts Tower - Business Bay - Dubai,+971 4 345 3033,+971 4 345 3033,,https://greeninitiative.me/,info@greeninitiative.me,info@greeninitiative.me,https://www.linkedin.com/company/green-initiative-group,https://web.facebook.com/GreenInitiativeGroup,,,,,25.1872907,55.2810316,https://www.yello.ae/company/369784/green-initiative-group,ok
