Task ID,Epic,Task,Description,Priority,Status,Dependencies,Assigned Agent,Files/Modules,Acceptance Criteria,Required Tests,Blocker,Started At,Completed At,Evidence
GRX-AUDIT-001,Audit,Audit log module,"`audit_logs` table/migration, insert-only repository/service, structured-log redaction of sensitive fields",P0,DONE,"GRX-FOUND-005 (DONE), GRX-AUTH-001 (DONE)",coding agent,"`apps/api/src/growixa_api/audit/{models,repositories,services}.py`, migration `6575d09949f9`, `apps/api/tests/{test_audit_log,test_audit_insert_only}.py`",Audit events can be written and listed; no UPDATE/DELETE path exists,Unit tests for write/list; negative test for missing update/delete routes,—,2026-07-25,2026-07-25,"`ruff`/`mypy` clean; `pytest` 14 passed incl. write/list round-trip, system-actor (NULL) event, sensitive-metadata redaction, and a negative test proving no update/delete function exists in `audit.repositories`/`audit.services`; `podman compose exec api alembic current` → head; `/health` unaffected. Commit `2b1dd7e`"
GRX-AUDIT-002,Audit,Audit log viewing (API + frontend),"`GET /audit` endpoint gated on `audit.view`, plus a frontend page to browse it",P1,DONE,"GRX-AUDIT-001 (DONE), GRX-RBAC-001 (DONE)",coding agent,"`apps/api/src/growixa_api/audit/{api,schemas}.py` (new), `apps/web/src/app/dashboard/audit/` (new), `sidebar.tsx`, `page-title.tsx`",A user with `audit.view` can list/filter audit events through the UI; a user without it gets 403/no nav item,Integration tests + frontend component test,—,2026-07-31,2026-07-31,"Filed 2026-07-31 during `GRX-DOC-003`'s feature-status audit: `GRX-AUDIT-001` built write-only (repository/service, no `api.py`), so Sprint 1's stated acceptance criterion (""audit logs... are visible to users with `audit.view`"") was never actually met. Added `GET /audit` (optional `entity_type`/`actor_user_id` query filters, reusing `list_events` from `GRX-AUDIT-001`), gated on `audit.view` via the existing `require_permission` dependency — passes the route-protection audit test with no allowlist changes needed. **Real bug found and fixed**: `AuditLogOut.ip_address` was typed `str | None`, but Postgres `INET` comes back from asyncpg as an `ipaddress.IPv4Address` object, not a `str` — every row with a real IP 500'd on serialization until a `field_validator` stringified it; caught by `pytest`, not by manual testing, since the local dev DB already had a row with a real IP from earlier session traffic. Built `AuditPage` (`/dashboard/audit`): a read-only list (action, resolved actor email, timestamp, non-empty metadata inline, entity_type badge) with a client-side entity_type filter dropdown built from the loaded events (no re-fetch per filter change, since the backend already caps at 100 rows). Actor emails resolved via `GET /users` (gated `users.manage`, not `audit.view` — safe today since both permissions have identical Super Admin/Admin-only grants, same reasoning as `roles/api.py`'s existing comment). Added ""Audit Log"" to the sidebar's SETTINGS section (gated `audit.view`) and a page-title entry. `ruff`/`mypy` clean (confirmed the handful of pre-existing mypy errors elsewhere are unrelated via `git stash` diff); `pytest` 107 passed, 3 skipped (3 new: list, entity_type filter, 403 for a non-`audit.view` role); `alembic check` → no drift (no schema changes, `GRX-AUDIT-001`'s table already fit). `eslint`/`tsc --noEmit`/`prettier --check` clean; `vitest` 54 passed (4 new). Live-verified against rebuilt Compose containers: logged in as Super Admin, saw real `user.login`/`user.login_failed` events with resolved actor emails; created a contact and confirmed a new `contact.created` event appeared newest-first; filtered by entity_type to `contact` and confirmed only that row remained; confirmed a fresh Analyst (`audit.view`-less) sees no ""Audit Log"" nav item and gets an access-denied message on direct navigation. **Also recreated the `admin@growixa.local` smoke-test account**, which running the full `pytest` suite wiped again via `test_migrations.py`'s known table-drop side effect (documented in this file's `GRX-CONTACT-001`/`002` entries) — not a regression from this task. This closes `GRX-AUDIT-002` — no `BACKLOG` or `READY` tasks remain in the tracker. Commit `347a801`"
GRX-AUTH-001,Auth,"Users, roles, permissions schema + seed","`users`, `roles`, `permissions`, `role_permissions`, `user_roles` tables/migrations, Sprint 1 seed data per [RBAC.md](../08-security/RBAC.md)",P0,DONE,GRX-FOUND-005 (DONE),coding agent,"`apps/api/src/growixa_api/{roles,permissions,users}/models.py`, migration `d330e8b64b48`, `apps/api/tests/test_auth_schema_seed.py`",Migration seeds 6 roles and Sprint 1 permission codes,Migration test,—,2026-07-24,2026-07-24,"`ruff check`/`format --check`/`mypy` clean; `pytest` 4 passed incl. seed-data assertion (6 roles, 6 permission codes, exact 16-row role→permission matrix per RBAC.md) and full upgrade/downgrade round-trip; verified directly via `psql` and via `podman compose exec api alembic current` → head. Commit `daf9bc7`"
GRX-AUTH-002,Auth,Password hashing + login/logout,"Argon2id hashing, login endpoint, access/refresh cookie issuance, logout",P0,DONE,"GRX-AUTH-001 (DONE), GRX-AUDIT-001 (DONE)",coding agent,"`apps/api/src/growixa_api/auth/{models,security,tokens,repositories,services,schemas,api}.py`, migration `ea25a5343142`, `apps/api/src/growixa_api/users/repositories.py`, `apps/api/tests/test_auth_login.py`",Valid login issues cookies and `user.login` audit event; invalid login returns generic error and `user.login_failed` event,Unit + integration tests incl. failure path,—,2026-07-27,2026-07-27,"`ruff`/`mypy` clean; `pytest` 23 passed (94% coverage — corrected from a coverage.py+greenlet tracing bug found and fixed in this task) incl. valid login (cookies, no tokens in body, audit event), identical generic error for wrong-password/unknown-email, disabled-account rejection, logout (revokes token, clears cookies, audit event); rebuilt `api` image, `alembic current` → head; live curl flow against Compose confirmed cookie attributes and behavior. Commit `b7cf4d8`"
GRX-AUTH-003,Auth,Refresh-token rotation + session revocation,"Rotating refresh tokens, reuse detection, logout-all-sessions, account disable revokes sessions",P0,DONE,GRX-AUTH-002 (DONE),coding agent,"`apps/api/src/growixa_api/auth/{repositories,services,api}.py` (extended), `apps/api/tests/test_auth_refresh.py`",Refresh rotates on use; reused old token revokes chain; disable revokes sessions,"Integration tests for rotation, reuse detection, disable",—,2026-07-27,2026-07-27,"`ruff`/`mypy` clean; `pytest` 28 passed (94% coverage) incl. rotation (new cookies, old token revoked), reuse detection (revokes entire chain, `session.revoked` audit event), `logout-all` (revokes every session across simulated devices), disable-revokes-sessions (via the reusable `revoke_all_active_sessions()`), and expired-token rejection; rebuilt `api` image; live curl rotation+reuse flow against Compose confirmed both tokens revoked and audit event recorded via direct DB query. Commit `27a22af`"
GRX-AUTH-004,Auth,Login rate limiting,Redis-backed rate limit on login + password-reset-request endpoints (T1/T12 in [THREAT_MODEL.md](../08-security/THREAT_MODEL.md)),P0,DONE,"GRX-AUTH-002 (DONE), GRX-FOUND-006 (DONE)",coding agent,"`apps/api/src/growixa_api/auth/rate_limit.py` (new), `apps/api/src/growixa_api/auth/api.py` (login + password-reset-request routes extended), `apps/api/src/growixa_api/config.py` (`rate_limit_max_attempts`/`rate_limit_window_seconds`), `apps/api/tests/test_auth_rate_limit.py`",Exceeding threshold returns 429; legitimate traffic unaffected,Unit test for limiter logic,—,2026-07-27,2026-07-27,"`ruff`/`mypy` clean; `pytest` 43 passed, 2 skipped (95% coverage) incl. 5 pure unit tests against a fake Redis stand-in (allows up to max, raises past max, isolates by identifier, isolates by bucket, fails open on `RedisError`) plus an integration test that skips under host-run pytest for the same documented Redis-unreachable-from-host reason as `GRX-FOUND-006`; rebuilt `api` image and verified live against real Compose Redis: 6 wrong-password attempts against one email+IP returned `401×5` then `429`, a correct password against that same already-limited identifier also correctly returned `429` (rate limiting is identity-keyed, not correctness-keyed — this is the intended brute-force defense, not a bug), a different email+IP logged in normally (`200`, proving legitimate traffic elsewhere is unaffected), and the same 5-then-429 pattern was confirmed independently on `/auth/password-reset/request`; verified via `redis-cli KEYS ""grx:ratelimit:*""` that keys use the exact `grx:ratelimit:{bucket}:{identifier}` naming `LOCAL_DEVELOPMENT.md` documents, then cleaned up. Design note: the limiter fails open (allows the request) on any `RedisError` so a Redis outage degrades security rather than availability — an explicit, flagged engineering call, not a gap; see CHANGELOG. Commit `5c26200`"
GRX-AUTH-005,Auth,Password reset flow,"Request + completion endpoints, hashed single-use tokens",P0,DONE,"GRX-AUTH-002 (DONE), GRX-AUDIT-001 (DONE)",coding agent,"`apps/api/src/growixa_api/auth/{models,repositories,services,schemas,api}.py` (extended), `apps/api/src/growixa_api/config.py` (`password_reset_ttl_minutes`), migration `bb25de08ba84`, `apps/api/tests/test_auth_password_reset.py`","Reset completes, invalidates token, revokes existing sessions, emits audit events",Integration tests,—,2026-07-27,2026-07-27,"`ruff`/`mypy` clean; `pytest` 38 passed (95% coverage) incl. full request→complete round-trip (old password rejected, new password works, active sessions revoked, `user.password_reset_requested`/`user.password_reset_completed`/`session.revoked` all emitted), identical generic response for known vs. unknown email, and invalid/reused-token rejection; also verified the response's raw `token` field is `null` for both known and unknown email once `ENVIRONMENT != local` (a monkeypatched-settings test), confirming THREAT_MODEL.md T11 holds outside local dev; rebuilt `api` image, `alembic current` → head; live curl request→complete flow against Compose confirmed via direct DB query (audit events, session revocation, token `used_at`). Interim scope note: the raw token is only ever returned to the caller when `settings.environment == ""local""` (same pattern as GRX-USER-001's invitation token) — no email-delivery channel exists yet in Sprint 1. Commit `730519b`"
GRX-USER-001,User Management,Internal user invitation + acceptance,Admin invites by email + role; invitee accepts via token,P0,DONE,"GRX-AUTH-001 (DONE), GRX-AUDIT-001 (DONE)",coding agent,"`apps/api/src/growixa_api/users/{models,repositories,services,schemas,api}.py`, `apps/api/src/growixa_api/roles/repositories.py`, migration `f356da0136c3`, `apps/api/tests/test_users_invitations.py`","Invitation created, accepted, user provisioned with assigned role, `invitation.accepted` emitted",Integration tests,—,2026-07-27,2026-07-27,"`ruff`/`mypy` clean; `pytest` 34 passed (94% coverage) incl. full invite→accept round-trip (role assigned, `invitation.accepted` audited), non-admin 403, unknown-role 400, duplicate-email 409, invalid/already-accepted token 400; rebuilt `api` image, `alembic current` → head; live curl invite+accept flow against Compose confirmed role assignment and audit event via direct DB query. Raw invitation token is returned in the create-invitation API response (no email-delivery channel exists in Sprint 1 to send it — flagged, not silently done) — see CHANGELOG. Commit `87d2110`"
GRX-USER-002,User Management,"User management screens (list, invite, disable, role assignment)",Admin-facing user list/detail UI,P1,DONE,"GRX-USER-001 (DONE), GRX-FOUND-004 (DONE)",coding agent,"`apps/web/src/app/dashboard/team/`, `apps/api/src/growixa_api/{users,roles}/` (extended)","Admin can invite, view, disable a user and change role through the UI",Frontend component tests + one e2e happy path,—,2026-07-27,2026-07-29,"Added `GET /roles` (gated on `users.manage`, not `roles.manage` — it only backs the role-picker dropdown), `GET /users` (list with roles/status), `PATCH /users/{id}/status` and `/role`. Self-disable is blocked (`SelfActionNotAllowedError`) to avoid an unrecoverable lockout with no `seed_first_admin` CLI yet; disabling revokes all active sessions; role changes emit a `role.changed` audit event with old/new roles. New Team page (`/dashboard/team`) lists members, invites, changes roles, and disables/enables, gated on `users.manage`; sidebar's Team link only shows for users with that permission. `ruff`/`mypy` clean, `pytest` 55 passed (95% coverage, 10 new); frontend lint/format/typecheck/build clean, Vitest 14 passed (5 new), Playwright 4 passed (1 new e2e: invite → accept → login happy path). Live-verified in a real browser against rebuilt Compose containers: invited a user, changed their role, disabled them (session revoked, login now 401), confirmed self-disable is blocked in the UI. This closes out the last tracked Sprint 1 task. Commit `22ba450`"
GRX-RBAC-001,RBAC,Centralized permission-check dependency,`require_permission()` FastAPI dependency wired to every non-public route,P0,DONE,GRX-AUTH-001 (DONE),coding agent,"`apps/api/src/growixa_api/permissions/{repositories,dependencies}.py`, `apps/api/tests/test_require_permission.py`, `apps/api/tests/test_protected_routes_audit.py`",A user lacking a permission gets 403 on a protected route in a test,"Unit + integration tests, incl. negative case",—,2026-07-24,2026-07-24,"`ruff`/`mypy` clean; `pytest` 9 passed (allowed/403/401-missing/401-invalid cases using the real GRX-AUTH-001-seeded Viewer role, plus a route-protection audit over `create_app()`); rebuilt `api` image, `/health` unaffected. Commit `7e77444`"
GRX-COMPANY-001,Company Settings,Company profile + brand settings,"`company_profile`/`brand_profiles` tables, edit/view endpoints, RBAC-gated",P0,DONE,"GRX-FOUND-005 (DONE), GRX-RBAC-001 (DONE)",coding agent,"`apps/api/src/growixa_api/{company,brand}/{models,schemas,repositories,services,api}.py`, migration `1abf62872712`, `apps/api/tests/test_company_settings.py`",Admin can save company settings; Viewer can view but not edit,Integration tests for edit/view permission split,—,2026-07-25,2026-07-25,"`ruff`/`mypy` clean; `pytest` 19 passed (86% coverage) incl. admin edit+view, viewer view-only (403 on edit) for both company and brand, unauthenticated 401, and brand-requires-company-first (400) cases; rebuilt `api` image, `alembic current` → head; live end-to-end curl flow against Compose (PUT/GET `/company/profile`, PUT `/brand/profile`) verified correct persisted data. Commit `e40f6f8`"
GRX-COMPANY-002,Company Settings,Company settings screen,Frontend form for company profile/brand voice,P1,DONE,"GRX-COMPANY-001 (DONE), GRX-FOUND-004 (DONE)",coding agent,"`apps/web/src/app/dashboard/company-settings/`, `apps/api/src/growixa_api/auth/{schemas,api}.py` (`/auth/me` now returns `permissions`), `apps/api/src/growixa_api/permissions/repositories.py` (`list_permission_codes_for_user`)",Settings persist and reload correctly through the UI,Frontend component test,—,2026-07-27,2026-07-27,"Extended `/auth/me` to return the caller's permission codes so the frontend can render editable vs. read-only without guessing from a role name — Admin/Super Admin get an editable form, everyone else sees the same data disabled with a view-only note (per RBAC.md's `company.settings.edit` matrix). Saves company then brand profile in sequence (brand requires company to exist first). Sidebar gained a real SETTINGS section; topbar title is now route-driven. Found and fixed a real RTL bug while writing the component test: Vitest doesn't auto-wire `@testing-library/react`'s cleanup without `test.globals: true`, so DOM was leaking between tests in the same file — fixed via explicit `afterEach(cleanup)` in `vitest.setup.ts`. `ruff`/`mypy` clean, `pytest` 45 passed/2 skipped; frontend lint/format/typecheck/build clean, Vitest 5 passed (4 new), Playwright 3 passed (unaffected). Live-verified in a real browser against rebuilt Compose containers as both an Admin (editable, save persists, reload shows persisted values) and a Viewer (identical data, all fields disabled, no Save button). Commit `9989373`"
GRX-COMPANY-003,Company Settings,AI Brand Control Center redesign,"Redesign `/dashboard/company-settings` into a tabbed AI Brand Control Center (Company Profile / Brand Voice / AI Guardrails / AI Preview) per direct product request; structured guardrail rule lists, persona chip selector, voice sliders, sticky unsaved-changes bar, AI copy preview wired to the real `/ai/generate` endpoint",P1,DONE,GRX-COMPANY-002 (DONE),coding agent,"`apps/web/src/app/(dashboard)/dashboard/company-settings/**`, `apps/api/src/growixa_api/company/{models,schemas}.py`, `apps/api/src/growixa_api/brand/{models,schemas}.py`, new Alembic migration",Existing saved company/brand values keep working; guardrail rules render/edit as structured lists backed by the same JSONB list fields; new persona/voice-slider fields persist via additive nullable columns; AI Preview uses the real `/ai/generate/{capability}` endpoint with an honest not-connected state (no fabricated scores); responsive at mobile/tablet/desktop; lint/typecheck/tests pass,"Frontend component tests for tab navigation, guardrail list editing, dirty-state save/discard; backend tests for new nullable fields round-tripping",—,2026-08-26,2026-08-27,"Merged via PR #25 (`4e7c8d0`, branch `feature/FRONTEND/GRX-COMPANY-003`, reviewed commit `3aa37c0`). Frontend: `npm run test` 300 passed (52 files) incl. 10 in company-settings covering tab nav, persona chips, guardrail add/remove, view-only disabling, save/discard round-trip; `lint`/`typecheck`/`format:check`/`build` all clean. Backend fields (persona_tags, voice_settings, support_email, sender_name, business_address, description) landed in prior commit `e9f4538` with migration `72e376f46c26` and passing `test_company_settings.py`. Independently reviewed and `APPROVED` (`pr_reviews/feature-FRONTEND-GRX-COMPANY-003.md`); product-owner sign-off recorded in the same file per `AGENTS.md` §4.5."
GRX-FOUND-008,Foundation,Dashboard shell,"Authenticated layout, navigation, empty-state dashboard landing page",P1,DONE,"GRX-AUTH-002 (DONE), GRX-FOUND-004 (DONE)",coding agent,"`apps/web/src/app/{login,dashboard}/`, `apps/web/src/lib/auth.ts`, `apps/web/src/app/globals.css`, `apps/api/src/growixa_api/{app,config}.py` (CORS), `apps/api/src/growixa_api/auth/api.py` (`GET /auth/me`), `apps/web/tests/e2e/dashboard.spec.ts`",Logged-in user sees dashboard shell; logged-out user is redirected to login,Frontend e2e smoke test,—,2026-07-27,2026-07-27,"Required two small, necessary backend additions discovered while scoping this frontend task (not in its original Files/Modules column): CORS middleware (`cors_allowed_origins` setting) so the browser can complete cross-origin credentialed requests from the web origin, and `GET /auth/me` (identifies the session via the access-token cookie, same shape as `/refresh`/`/logout-all` — added to the route-protection audit's allowlist) so a Server Component can determine auth state, since the access token is HttpOnly and unreadable by client JS. `ruff`/`mypy` clean; `pytest` 45 passed, 2 skipped; frontend `eslint`/`prettier --check`/`tsc --noEmit`/Vitest all clean. Playwright e2e (3 tests) passed against real Compose Postgres/Redis: logged-out `/dashboard` → redirect to `/login`; full login → dashboard shell (sidebar, top bar, user name, empty state) → logout → re-visiting `/dashboard` redirects to `/login` again, proving the session was actually cleared. **Real bug found and fixed during Compose verification** (not caught by the host-run Playwright suite, which never exercises the Dockerized `web` container): server-side fetches from inside the `web` container used `NEXT_PUBLIC_API_URL=http://localhost:8000`, but `localhost` inside that container is itself, not the `api` container — added a server-only `API_INTERNAL_URL=http://api:8000` (falls back to `NEXT_PUBLIC_API_URL` outside Docker) and set it in `compose.yaml`. Verified visually in a real browser against the rebuilt `web`+`api` containers: login screen renders the dark-navy glass-card design, dashboard shell renders sidebar/top bar/empty state, logout clears the session for real. Per `DESIGN_REFERENCES.md`'s scope caveat, only the Dashboard nav item is real (wired, active); no other nav item has a route yet. Commit `886329a`"
